time,car1_speed,car2_speed,distance,TTC,AEB
0.4,10.0,10.0,20.0,inf,999
0.6,10.0,9.94,20.06,inf,999
0.8,10.0,9.89,20.17,inf,999
1.0,10.0,9.85,20.31,inf,999
1.2,10.0,9.83,20.49,inf,999
1.4,10.0,9.81,20.68,inf,999
1.6,10.0,9.79,20.89,inf,999
1.8,10.0,9.79,21.1,inf,999
2.0,10.0,9.79,21.31,inf,999
2.2,10.0,9.79,21.52,inf,999
2.4,10.0,9.8,21.72,inf,999
2.6,10.0,9.81,21.9,inf,999
2.8,10.0,9.83,22.07,inf,999
3.0,10.0,9.85,22.23,inf,999
3.2,10.0,9.86,22.36,inf,999
3.4,10.0,9.88,22.48,inf,999
3.6,10.0,9.9,22.58,inf,999
3.8,10.0,9.92,22.67,inf,999
4.0,10.0,9.93,22.73,inf,999
4.2,10.0,9.95,22.78,inf,999
4.4,10.0,9.97,22.81,inf,999
4.6,10.0,9.98,22.83,inf,999
4.8,10.0,9.99,22.84,inf,999
5.0,10.0,10.01,22.83,4105.87,0
5.2,10.0,10.02,22.82,1477.16,0
5.4,10.0,10.02,22.79,958.45,0
5.6,10.0,10.03,22.76,744.29,0
5.8,10.0,10.04,22.73,633.11,0
6.0,10.0,10.04,22.69,570.12,0
6.2,5.0,10.04,17.65,3.5,0
6.4,5.0,7.57,15.07,5.86,0
6.6,5.0,6.29,13.79,10.72,0
6.8,5.0,5.64,13.14,20.44,0
7.0,5.0,5.32,12.82,39.88,0
7.2,5.0,5.16,12.66,78.76,0
7.4,5.0,5.08,12.58,156.51,0
7.6,5.0,5.04,12.54,312.02,0
7.8,5.0,5.02,12.52,623.04,0
8.0,5.0,5.01,12.51,1245.08,0
8.2,5.0,5.01,12.51,2489.17,0
8.4,5.0,5.0,12.51,14136.38,0
8.6,5.0,5.0,12.51,inf,999
8.8,5.0,4.99,12.51,inf,999
9.0,5.0,4.99,12.52,inf,999
9.2,5.0,4.99,12.53,inf,999
9.4,5.0,4.99,12.54,inf,999
9.6,5.0,4.99,12.55,inf,999
9.8,5.0,4.99,12.56,inf,999
10.0,5.0,4.99,12.57,inf,999
10.2,5.0,4.99,12.58,inf,999
10.4,5.0,4.99,12.59,inf,999
10.6,5.0,4.99,12.59,inf,999
10.8,5.0,5.0,12.6,inf,999
11.0,5.0,5.0,12.6,inf,999
11.2,5.0,5.0,12.6,inf,999
11.4,5.0,5.0,12.6,inf,999
11.6,5.0,5.0,12.6,11493.61,0
11.8,5.0,5.0,12.6,6342.01,0
12.0,5.0,5.0,12.6,4740.59,0
12.2,5.0,5.0,12.59,4052.49,0
12.4,5.0,5.0,12.59,3760.66,0
12.6,5.0,5.0,12.59,3705.9,0
12.8,5.0,5.0,12.58,3838.61,0
13.0,5.0,5.0,12.58,4162.6,0
13.2,5.0,5.0,12.58,4727.82,0
13.4,5.0,5.0,12.57,5652.9,0
13.6,5.0,5.0,12.57,7201.23,0
