time,car1_speed,car2_speed,distance,TTC,AEB
0.4,10.0,10.0,20.0,inf,999
0.6,10.0,10.34,19.66,57.56,0
0.8,10.0,10.68,18.98,28.1,0
1.0,10.0,10.25,18.74,76.02,0
1.2,10.0,9.67,19.07,inf,999
1.4,10.0,9.85,19.22,inf,999
1.6,10.0,10.12,19.1,158.06,0
1.8,10.0,10.27,18.83,70.22,0
2.0,10.0,9.57,19.26,inf,999
2.2,10.0,9.9,19.36,inf,999
2.4,10.0,10.11,19.25,180.79,0
2.6,10.0,9.95,19.3,inf,999
2.8,10.0,9.78,19.53,inf,999
3.0,10.0,10.28,19.25,69.11,0
3.2,10.0,10.35,18.9,54.71,0
3.4,10.0,10.17,18.74,113.35,0
3.6,10.0,10.25,18.48,73.1,0
3.8,10.0,10.3,18.19,61.06,0
4.0,10.0,9.9,18.29,inf,999
4.2,10.0,10.14,18.15,132.19,0
4.4,10.0,9.25,18.9,inf,999
4.6,10.0,10.24,18.66,76.78,0
4.8,10.0,9.81,18.84,inf,999
5.0,10.0,9.64,19.21,inf,999
5.2,10.0,9.9,19.31,inf,999
5.4,10.0,10.01,19.3,3412.66,0
5.6,10.0,9.66,19.64,inf,999
5.8,10.0,10.4,19.23,47.62,0
6.0,10.0,10.0,19.24,inf,999
6.2,5.0,9.62,14.61,3.16,0
6.4,5.0,5.62,13.99,22.45,0
6.6,5.0,5.72,13.27,18.53,0
6.8,5.0,4.84,13.43,inf,999
7.0,5.0,5.4,13.03,32.64,0
7.2,5.0,4.27,13.76,inf,999
7.4,5.0,5.29,13.47,46.38,0
7.6,5.0,4.92,13.55,inf,999
7.8,5.0,5.35,13.21,38.28,0
8.0,5.0,5.27,12.93,47.35,0
8.2,5.0,4.86,13.07,inf,999
8.4,5.0,5.07,13.0,180.9,0
8.6,5.0,4.83,13.17,inf,999
8.8,5.0,4.95,13.23,inf,999
9.0,5.0,4.54,13.69,inf,999
9.2,5.0,5.18,13.51,76.35,0
9.4,5.0,4.53,13.98,inf,999
9.6,5.0,5.44,13.54,30.89,0
9.8,5.0,4.65,13.9,inf,999
10.0,5.0,4.77,14.12,inf,999
10.2,5.0,5.39,13.74,35.52,0
10.4,5.0,5.16,13.58,83.44,0
10.6,5.0,4.96,13.61,inf,999
10.8,5.0,5.26,13.35,51.54,0
11.0,5.0,5.08,13.27,159.91,0
11.2,5.0,5.28,12.99,45.92,0
11.4,5.0,4.58,13.41,inf,999
11.6,5.0,5.17,13.23,77.32,0
11.8,5.0,5.24,12.99,53.58,0
12.0,5.0,5.1,12.89,123.46,0
12.2,5.0,4.82,13.07,inf,999
12.4,5.0,5.24,12.83,53.47,0
12.6,5.0,4.49,13.34,inf,999
12.8,5.0,4.57,13.77,inf,999
13.0,5.0,4.73,14.04,inf,999
13.2,5.0,5.11,13.93,132.67,0
13.4,5.0,5.13,13.81,108.95,0
13.6,5.0,5.27,13.53,49.57,0
